pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-14,97.0,-2.58,6.1,"Bae, Ji Hwan",678225,676917,field_out,hit_into_play,,,,,5.0,"Ji Hwan Bae grounds out, shortstop CJ Abrams to first baseman Andrés Chaparro.",R,L,R,WSH,PIT,X,6.0,ground_ball,0,0,2025,-1.07,0.4,-0.1698857318703861,2.104113253224931,,663698.0,,2,4,Top,116.34,166.88,,,,,8.920120286404977,-140.98508527059306,-6.075983462144385,-16.26941110326265,31.751289473868155,-25.646457697796123,3.12,1.46,2.0,82.6,-51.0,97.3,2292.0,6.5,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.01,0.19,0.176,0.0,1.0,0.0,0.0,2.0,32,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,213.0,0.041,-0.288,67.0,6.0,0.194,0.288,88.0,0,0,0.519,0.481,26,25,27,26,2,1,6.0,2.0,6.0,,2.03,1.07,-1.07,39.5,-8.728179723065418,26.276806997344767,32.39725483457265,37.02854726185874,15.23773650319614
FF,2025-09-14,97.1,-2.43,6.27,"Bae, Ji Hwan",678225,676917,walk,ball,,,,,12.0,Ji Hwan Bae walks.,R,L,R,WSH,PIT,B,,,3,2,2025,-0.41,1.2,0.1928050383861829,3.955162162233652,,,,0,2,Top,,,,,,,7.977725537850959,-141.27947604236832,-3.4288358969926507,-7.348075163570275,31.60383844985175,-15.50731038476343,3.17090639162156,1.47938564132497,,,,97.3,2383.0,6.4,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.11,,0.691497,0.7,1.0,0.0,0.0,,12,7,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,200.0,-0.018,0.356,,,,-0.356,,-3,3,0.219,0.781,26,25,27,26,1,0,6.0,2.0,6.0,,1.22,0.41,-0.41,53.1,,,,,
FC,2025-09-14,94.2,-2.82,6.1,"Bae, Ji Hwan",678225,676917,,foul,,,,,2.0,Foul,R,L,R,WSH,PIT,S,,,3,2,2025,-0.1,1.12,0.0046661332642815,2.7581381615607237,,,,0,2,Top,,,,,,,7.561786031861443,-136.96716487044537,-5.5218989118891075,-2.7400204435543407,27.663815901445044,-17.032668906346455,3.12,1.46,274.0,84.1,41.0,94.8,2337.0,6.5,776320,656180,665953,683083,657557,682928,695734,696285,690987,53.99,,,,,,,,12,6,Cutter,0,3,3,0,3,0,3,0,Standard,Standard,206.0,0.0,0.0,73.5,6.3,,0.0,88.0,-3,3,0.219,0.781,26,25,27,26,1,0,6.0,2.0,6.0,,1.44,0.1,-0.1,41.4,1.968765954189978,14.396850987508532,30.248195474488924,34.39494632984271,23.902044947269196
FF,2025-09-14,97.3,-2.56,6.24,"Bae, Ji Hwan",678225,676917,,ball,,,,,12.0,Ball,R,L,R,WSH,PIT,B,,,2,2,2025,-0.28,1.15,0.0636694326634892,3.703145716885434,,,,0,2,Top,,,,,,,7.642239193436247,-141.55256541231415,-3.950002322065446,-5.405470977296857,30.599866821097997,-15.973290243770714,3.1115760983434,1.49788152481136,,,,97.3,2405.0,6.2,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.32,,,,,,,,12,5,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,200.0,-0.005,0.112,,,,-0.112,,-3,3,0.224,0.776,26,25,27,26,1,0,6.0,2.0,6.0,,1.25,0.28,-0.28,45.1,,,,,
FF,2025-09-14,95.1,-2.62,6.12,"Bae, Ji Hwan",678225,676917,,foul,,,,,2.0,Foul,R,L,R,WSH,PIT,S,,,2,1,2025,-0.32,1.5,-0.0904420282285468,3.1042137501866858,,,,0,2,Top,,,,,,,7.335173953042475,-138.28122056957898,-5.647283205180752,-5.6306131139311395,29.140254213747767,-11.785690259803314,3.12,1.46,,,,95.3,2443.0,6.3,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.19,,,,,,,,12,4,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,201.0,0.004,-0.073,66.7,5.6,,0.073,,-3,3,0.22,0.78,26,25,27,26,1,0,6.0,2.0,6.0,,1.01,0.32,-0.32,42.4,-4.6996287698606825,28.499615435025003,26.658941619513456,35.76321657139535,13.772037878680017
FF,2025-09-14,94.7,-2.63,6.15,"Bae, Ji Hwan",678225,676917,,swinging_strike,,,,,2.0,Swinging Strike,R,L,R,WSH,PIT,S,,,2,0,2025,-0.3,1.39,-0.2716996172969138,3.115867104045148,,,,0,2,Top,,,,,,,6.828015450001279,-137.82105630333268,-5.392298927499673,-5.2398902572286215,29.240402230750615,-13.43501285809068,3.12,1.46,,,,95.0,2395.0,6.4,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.13,,,,,,,,12,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,203.0,0.004,-0.072,66.4,5.9,,0.072,,-3,3,0.216,0.784,26,25,27,26,1,0,6.0,2.0,6.0,,1.14,0.3,-0.3,42.0,2.0146861737762465,28.299627778370063,26.412996593739297,38.035154165521696,13.418385268402163
SI,2025-09-14,95.0,-2.59,6.26,"Bae, Ji Hwan",678225,676917,,ball,,,,,13.0,Ball,R,L,R,WSH,PIT,B,,,1,0,2025,-1.34,0.63,-1.2747676939396912,1.1540004990463593,,,,0,2,Top,,,,,,,6.420216661969971,-137.96265281152426,-9.115273111431376,-18.515958103970483,29.160881327733662,-22.31091935967299,3.16465391305471,1.52120462518027,,,,94.9,2347.0,6.2,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.29,,,,,,,,12,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,220.0,-0.004,0.077,,,,-0.077,,-3,3,0.22,0.78,26,25,27,26,1,0,6.0,2.0,6.0,,1.89,1.34,-1.34,42.7,,,,,
KC,2025-09-14,84.0,-2.57,6.33,"Bae, Ji Hwan",678225,676917,,ball,,,,,6.0,Ball,R,L,R,WSH,PIT,B,,,0,0,2025,0.69,-1.05,0.7848069884250592,2.225007489592561,,,,0,2,Top,,,,,,,6.364064207390437,-122.20540362188072,-0.9878961795586586,5.5748003117737595,25.45876070285647,-42.70718837201186,3.13176454286875,1.51725723019171,,,,83.4,2381.0,6.0,776320,656180,665953,683083,657557,682928,695734,696285,690987,54.45,,,,,,,,12,1,Knuckle Curve,0,3,3,0,3,0,3,0,Standard,Standard,30.0,-0.002,0.041,,,,-0.041,,-3,3,0.222,0.778,26,25,27,26,1,0,6.0,2.0,6.0,,4.3,-0.69,0.69,43.0,,,,,
SL,2025-09-14,86.9,-1.2,6.13,"Bae, Ji Hwan",678225,690925,strikeout,called_strike,,,,,4.0,Ji Hwan Bae called out on strikes.,R,L,R,WSH,PIT,S,2.0,,2,2,2025,0.61,-0.62,-0.5498827180780334,2.1443010860974048,,,,1,9,Top,,,,,,,0.3103866086215956,-126.68478820613052,-2.128093265135016,6.535673467821854,25.680716875009388,-38.603463984590675,3.13397420659268,1.48555702392112,,,,86.4,2985.0,5.8,776320,656180,665953,683083,657557,682928,690987,696285,686611,54.65,,0.0,0.0,1.0,0.0,0.0,,70,5,Slider,4,3,3,4,3,4,3,4,Standard,Strategic,27.0,0.047,-0.228,,,,0.228,,1,-1,0.916,0.0839999999999999,26,25,27,26,1,3,1.0,2.0,3.0,,3.62,-0.61,0.61,53.3,,,,,
SL,2025-09-14,88.9,-1.27,6.21,"Bae, Ji Hwan",678225,690925,,ball,,,,,11.0,Ball,R,L,R,WSH,PIT,B,,,1,2,2025,0.38,-0.48,-0.6755506048715918,3.86810023380699,,,,1,9,Top,,,,,,,0.6767236037591217,-129.59531464518662,1.2074241582309826,4.133642586931215,24.759588041603116,-38.066587990405075,3.14202517574841,1.52320394609686,,,,88.5,3039.0,5.7,776320,656180,665953,683083,657557,682928,690987,696285,686611,54.78,,,,,,,,70,4,Slider,4,3,3,4,3,4,3,4,Standard,Strategic,32.0,-0.008,0.048,,,,-0.048,,1,-1,0.924,0.0759999999999999,26,25,27,26,1,3,1.0,2.0,3.0,,3.34,-0.38,0.38,52.4,,,,,
