pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
,2007-09-28,,,,"Kim, Byung-Hyun",113232,218294,,ball,,,,,,Ball,R,L,R,NYM,MIA,B,,,1,0,2007,,,,,,,,0,6,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,57,2,,4,7,4,7,7,4,4,7,,,,0.009,0.077,,,,-0.077,,-3,-3,0.168,0.168,28,35,28,35,1,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",113232,218294,,ball,,,,,,Ball,R,L,R,NYM,MIA,B,,,0,0,2007,,,,,,,,0,6,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,57,1,,4,7,4,7,7,4,4,7,,,,0.005,0.039,,,,-0.039,,-3,-3,0.163,0.163,28,35,28,35,1,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,field_out,hit_into_play,,,,,,"Moises Alou grounds out, third baseman Miguel Cabrera to first baseman Mike Jacobs.",R,R,R,NYM,MIA,X,5.0,ground_ball,3,2,2007,,,,,,,,2,5,Bot,104.42,166.67,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,0.0,,0.0,0.0,,50,7,,4,7,4,7,7,4,4,7,,,,-0.013,-0.339,,,,0.339,,-3,-3,0.15,0.15,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,,ball,,,,,,Ball,R,R,R,NYM,MIA,B,,,2,2,2007,,,,,,,,2,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,50,6,,4,7,4,7,7,4,4,7,,,,0.004,0.093,,,,-0.093,,-3,-3,0.146,0.146,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,,foul,,,,,,Foul,R,R,R,NYM,MIA,S,,,2,2,2007,,,,,,,,2,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,50,5,,4,7,4,7,7,4,4,7,,,,0.0,0.0,,,,0.0,,-3,-3,0.146,0.146,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,,ball,,,,,,Ball,R,R,R,NYM,MIA,B,,,1,2,2007,,,,,,,,2,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,50,4,,4,7,4,7,7,4,4,7,,,,0.001,0.052,,,,-0.052,,-3,-3,0.145,0.145,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,,ball,,,,,,Ball,R,R,R,NYM,MIA,B,,,0,2,2007,,,,,,,,2,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,50,3,,4,7,4,7,7,4,4,7,,,,0.001,0.023,,,,-0.023,,-3,-3,0.144,0.144,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,,foul,,,,,,Foul,R,R,R,NYM,MIA,S,,,0,1,2007,,,,,,,,2,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,50,2,,4,7,4,7,7,4,4,7,,,,-0.002,-0.062,,,,0.062,,-3,-3,0.146,0.146,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",110189,218294,,foul,,,,,,Foul,R,R,R,NYM,MIA,S,,,0,0,2007,,,,,,,,2,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,50,1,,4,7,4,7,7,4,4,7,,,,-0.002,-0.046,,,,0.046,,-3,-3,0.148,0.148,28,40,28,41,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",136860,218294,field_out,hit_into_play,,,,,,Carlos Beltran flies out to left fielder Cody Ross.,R,L,R,NYM,MIA,X,7.0,fly_ball,2,2,2007,,,,,,,,1,5,Bot,80.32,101.41,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,0.0,,0.0,0.0,,49,5,,4,7,4,7,7,4,4,7,,,,-0.014,-0.253,,,,0.253,,-3,-3,0.162,0.162,28,30,28,30,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",136860,218294,,ball,,,,,,Ball,R,L,R,NYM,MIA,B,,,1,2,2007,,,,,,,,1,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,49,4,,4,7,4,7,7,4,4,7,,,,0.002,0.043,,,,-0.043,,-3,-3,0.16,0.16,28,30,28,30,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",136860,218294,,foul,,,,,,Foul,R,L,R,NYM,MIA,S,,,1,1,2007,,,,,,,,1,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,49,3,,4,7,4,7,7,4,4,7,,,,-0.004,-0.06,,,,0.06,,-3,-3,0.164,0.164,28,30,28,30,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",136860,218294,,called_strike,,,,,,Called Strike,R,L,R,NYM,MIA,S,,,1,0,2007,,,,,,,,1,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,49,2,,4,7,4,7,7,4,4,7,,,,-0.004,-0.052,,,,0.052,,-3,-3,0.168,0.168,28,30,28,30,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",136860,218294,,ball,,,,,,Ball,R,L,R,NYM,MIA,B,,,0,0,2007,,,,,,,,1,5,Bot,,,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,,,,,,49,1,,4,7,4,7,7,4,4,7,,,,0.003,0.041,,,,-0.041,,-3,-3,0.165,0.165,28,30,28,30,3,2,6.0,1.0,,1.0,,,,,,,,,
,2007-09-28,,,,"Kim, Byung-Hyun",431151,218294,field_out,hit_into_play,,,,,,"David Wright grounds out, shortstop Hanley Ramirez to first baseman Mike Jacobs.   Luis Castillo scores.",R,R,R,NYM,MIA,X,6.0,ground_ball,0,0,2007,,,,,112116.0,,,0,5,Bot,117.47,147.59,,,,,,,,,,,,,,,,,,,70518,276354,408312,462564,408234,434670,425496,448276,435181,,,,0.0,,0.0,0.0,,48,1,,3,7,3,7,7,4,4,7,,,,-0.021,-0.233,,,,0.233,,-4,-4,0.186,0.186,28,24,28,25,3,2,6.0,1.0,,1.0,,,,,,,,,
