pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2010-10-01,85.2,-1.86,6.05,"Park, Chan Ho",466988,120221,field_out,hit_into_play,,,,,13.0,Emilio Bonifacio pops out to shortstop Ronny Cedeno.,R,L,R,MIA,PIT,X,6.0,popup,1,1,2010,-1.29,0.68,-0.24878131500585,1.1388940312202207,,,,2,7,Bot,94.38,128.51,,,,101001_210003,6.8262125423061075,-124.69551786652156,-5.621571464641196,-14.362,25.386,-24.224,3.2,1.8,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,0.0,,0.0,0.0,,60,3,Changeup,1,5,1,5,5,1,1,5,,,,-0.006,-0.242,,,,0.242,,-4,-4,0.042,0.042,37,25,37,25,1,3,2.0,1.0,,1.0,2.52,1.29,-1.29,,,,,,
SL,2010-10-01,87.7,-2.23,5.76,"Park, Chan Ho",466988,120221,,ball,,,,,14.0,Ball,R,L,R,MIA,PIT,B,,,0,1,2010,-0.04,0.41,1.9812581537251088,1.0306883785055598,,,,2,7,Bot,,,,,,101001_205948,10.252665608156317,-128.1257487939095,-5.153946921375395,-2.374,24.906,-26.759,3.37,1.61,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,60,2,Slider,1,5,1,5,5,1,1,5,,,,0.001,0.03,,,,-0.03,,-4,-4,0.041,0.041,37,25,37,25,1,3,2.0,1.0,,1.0,2.6,0.04,-0.04,,,,,,
FF,2010-10-01,93.3,-2.4,5.47,"Park, Chan Ho",466988,120221,,foul_bunt,,,,,1.0,Foul Bunt,R,L,R,MIA,PIT,S,,,0,0,2010,-0.64,0.72,-0.4346883646010757,2.8818242620248284,,,,2,7,Bot,,,,,,101001_205923,6.6984811719908,-136.80146791975588,-1.709861039240707,-9.193,29.579,-23.026,3.2,1.8,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,60,1,4-Seam Fastball,1,5,1,5,5,1,1,5,,,,-0.001,-0.044,,,,0.044,,-4,-4,0.042,0.042,37,25,37,25,1,3,2.0,1.0,,1.0,1.93,0.64,-0.64,,,,,,
CU,2010-10-01,80.5,-2.13,5.76,"Park, Chan Ho",502161,120221,strikeout,swinging_strike,,,,,6.0,Scott Cousins strikes out swinging.,R,L,R,MIA,PIT,S,2.0,,3,2,2010,0.93,-0.52,0.6720951687646829,2.400794827230515,,,,1,7,Bot,,,,,,101001_205853,4.165166403783947,-117.92851903165749,1.6404303521319747,7.515,22.911,-37.138,3.43,1.83,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,0.0,,0.0,0.0,,59,6,Curveball,1,5,1,5,5,1,1,5,,,,-0.014,-0.338,,,,0.338,,-4,-4,0.056,0.056,37,25,37,25,1,0,2.0,1.0,,1.0,4.1,-0.93,0.93,,,,,,
SI,2010-10-01,93.4,-2.29,5.69,"Park, Chan Ho",502161,120221,,ball,,,,,12.0,Ball,R,L,R,MIA,PIT,B,,,2,2,2010,-1.11,0.51,0.9197958464988674,3.508625569656183,,,,1,7,Bot,,,,,,101001_205838,11.122133629872607,-136.773012692563,-0.0776335255154089,-15.871,30.947,-26.022,3.57,1.79,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,59,5,Sinker,1,5,1,5,5,1,1,5,,,,0.005,0.111,,,,-0.111,,-4,-4,0.051,0.051,37,25,37,25,1,0,2.0,1.0,,1.0,2.15,1.11,-1.11,,,,,,
SL,2010-10-01,87.6,-2.14,5.7,"Park, Chan Ho",502161,120221,,swinging_strike,,,,,14.0,Swinging Strike,R,L,R,MIA,PIT,S,,,2,1,2010,0.29,0.13,1.492199157964249,2.031653815402502,,,,1,7,Bot,,,,,,101001_205817,8.065001876460283,-128.2338138908767,-1.8699475950100355,1.448,26.372,-30.439,3.43,1.83,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,59,4,Slider,1,5,1,5,5,1,1,5,,,,-0.004,-0.074,,,,0.074,,-4,-4,0.055,0.055,37,25,37,25,1,0,2.0,1.0,,1.0,2.89,-0.29,0.29,,,,,,
CH,2010-10-01,84.5,-1.94,6.14,"Park, Chan Ho",502161,120221,,ball,,,,,13.0,Ball,R,L,R,MIA,PIT,B,,,1,1,2010,-1.26,0.62,-1.811025429758082,1.2253802489244423,,,,1,7,Bot,,,,,,101001_205803,3.2210792332308253,-123.82787121242131,-5.31562683886103,-13.077,26.338,-24.899,3.52,1.78,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,59,3,Changeup,1,5,1,5,5,1,1,5,,,,0.003,0.058,,,,-0.058,,-4,-4,0.052,0.052,37,25,37,25,1,0,2.0,1.0,,1.0,2.64,1.26,-1.26,,,,,,
SL,2010-10-01,87.9,-2.04,6.02,"Park, Chan Ho",502161,120221,,ball,,,,,14.0,Ball,R,L,R,MIA,PIT,B,,,0,1,2010,0.49,0.2,1.920517970732828,1.789478708527085,,,,1,7,Bot,,,,,,101001_205747,8.399141055037834,-128.5518237910299,-3.4516993365854987,3.497,26.523,-29.326,3.57,1.82,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,59,2,Slider,1,5,1,5,5,1,1,5,,,,0.001,0.025,,,,-0.025,,-4,-4,0.051,0.051,37,25,37,25,1,0,2.0,1.0,,1.0,2.81,-0.49,0.49,,,,,,
CU,2010-10-01,77.4,-1.91,6.2,"Park, Chan Ho",502161,120221,,swinging_strike,,,,,14.0,Swinging Strike,R,L,R,MIA,PIT,S,,,0,0,2010,1.43,-1.15,1.7474527957517842,0.9391307085209856,,,,1,7,Bot,,,,,,101001_205731,4.772791830750292,-113.51639478066592,-0.4779338606873349,10.885,22.473,-41.586,3.43,1.83,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,,,,,,59,1,Curveball,1,5,1,5,5,1,1,5,,,,-0.002,-0.037,,,,0.037,,-4,-4,0.053,0.053,37,25,37,25,1,0,2.0,1.0,,1.0,5.04,-1.43,1.43,,,,,,
SL,2010-10-01,83.7,-1.98,5.93,"Park, Chan Ho",452238,120221,strikeout,swinging_strike,,,,,14.0,Brad Davis strikes out swinging.,R,R,R,MIA,PIT,S,2.0,,2,2,2010,0.46,-0.05,1.218787909439233,1.0964473842819844,,,,0,7,Bot,,,,,,101001_205656,6.308009029112433,-122.46321628962716,-3.5003388787309557,3.445,21.03,-32.056,3.55,1.69,,,,,,,266202,430965,435624,435522,476883,430592,467798,457705,461235,54.5,,,0.0,,0.0,0.0,,58,5,Slider,1,5,1,5,5,1,1,5,,,,-0.015,-0.235,,,,0.235,,-4,-4,0.068,0.068,37,27,37,28,1,2,2.0,1.0,,2.0,3.32,-0.46,-0.46,,,,,,
